property_uid,source,source_listing_id,url,colonia,alcaldia,price_mxn,area_m2,bedrooms,bathrooms,parking,floor,has_elevator,year_built,lat,lon,is_new_development,is_recovery,recovery_flags,first_seen,last_seen,price_per_m2,gross_yield,gross_yield_lo,gross_yield_hi,cap_rate,grm,discount_vs_colonia,rent_hat,rent_source,suspicious_cheap
019379e8f5530494,mudafy,10546017,https://mudafy.com.mx/propiedades/lago-neuchatel-7-granada-ciudad-de-mexico-cdmx-mexico-departamento-en-venta-960914,,Cuauhtémoc,5928259,67.17,2,2.0,0,,,,19.443,-99.20100000000001,False,False,,2026-09-11,2026-09-11,88257.54,0.0824,0.0385,0.1762,0.0621,12.14,0.4117,40697.83,hedonic,False
a4ed4724e0de5a2c,mudafy,903250,https://mudafy.com.mx/propiedades/circuito-interior-melchor-ocampo-departamento-en-venta-275430,San Rafael,Cuauhtémoc,4608900,79.0,2,2.0,0,,,,19.44,-99.168,False,False,,2026-09-11,2026-09-11,58340.51,0.1156,0.0541,0.2473,0.0917,8.65,-0.0056,44414.87,hedonic,False
34d6d79094b5f50e,mudafy,14179676,https://mudafy.com.mx/propiedades/calle-lago-guija-100-departamento-en-venta-087954,,Cuauhtémoc,3990000,100.0,2,2.0,0,,,,19.458000000000002,-99.19500000000001,False,False,,2026-09-11,2026-09-11,39900.0,0.1517,0.0709,0.3244,0.1242,6.59,-0.3618,50429.39,hedonic,False
387ce16538340274,mudafy,373886,https://mudafy.com.mx/propiedades/prolongacion-paseo-de-la-reforma-489-santa-fe-zedec-santa-fe-ciudad-d-departamento-en-venta-587537,,Cuauhtémoc,4560000,70.0,1,1.0,0,,,,19.377,-99.258,False,False,,2026-09-11,2026-09-11,65142.86,0.1065,0.0498,0.2277,0.0832,9.39,0.042,40453.7,hedonic,False
659200e206284676,mudafy,14263914,https://mudafy.com.mx/propiedades/avenida-insurgentes-centro-0-departamento-en-venta-203313,,Cuauhtémoc,3000000,37.0,1,1.0,0,,,,19.44,-99.156,False,False,,2026-09-11,2026-09-11,81081.08,0.1148,0.0537,0.2455,0.0882,8.71,0.2969,28692.96,hedonic,False
1d40dfa4c43aa427,mudafy,12982034,https://mudafy.com.mx/propiedades/cerrada-claudio-arciniega-0-departamento-en-venta-767920,,Cuauhtémoc,4880000,101.0,2,2.0,0,,,,19.368000000000002,-99.18900000000001,False,False,,2026-09-11,2026-09-11,48316.83,0.1247,0.0583,0.2666,0.1003,8.02,-0.2272,50700.46,hedonic,False
b16bab23b39a1dcf,mudafy,13854160,https://mudafy.com.mx/propiedades/avenida-benjamin-franklin-0-departamento-en-venta-927820,,Cuauhtémoc,5400214,68.0,2,2.0,0,,,,19.407,-99.183,False,False,,2026-09-11,2026-09-11,79414.91,0.091,0.0426,0.1947,0.0697,10.98,0.2702,40968.01,hedonic,False
a11da4a703e344c9,mudafy,10459256,https://mudafy.com.mx/propiedades/boulevard-adolfo-lopez-mateos-departamento-en-venta-234819,,Cuauhtémoc,3600000,52.0,1,1.0,0,,,,19.368000000000002,-99.19200000000001,False,False,,2026-09-11,2026-09-11,69230.77,0.1149,0.0537,0.2457,0.0896,8.7,0.1073,34467.21,hedonic,False
638e2d0eb00e5156,mudafy,14263014,https://mudafy.com.mx/propiedades/avenida-insurgentes-sur-2239-departamento-en-venta-986695,,Cuauhtémoc,4990000,86.56,3,2.0,0,,,,19.341,-99.18900000000001,False,False,,2026-09-11,2026-09-11,57647.87,0.1148,0.0537,0.2456,0.0913,8.71,-0.0779,47745.15,hedonic,False
56dcf7f8e428b755,mudafy,759822,https://mudafy.com.mx/propiedades/boulevard-adolfo-lopez-mateos-2020-los-alpes-ciudad-de-mexico-cdmx-me-departamento-en-venta-057412,,Cuauhtémoc,5090333,81.42,1,1.0,0,,,,19.359,-99.19500000000001,False,False,,2026-09-11,2026-09-11,62519.44,0.1035,0.0484,0.2213,0.0809,9.67,0.0,43885.31,hedonic,False
