property_uid,source,source_listing_id,url,colonia,alcaldia,price_mxn,area_m2,bedrooms,bathrooms,parking,floor,has_elevator,year_built,lat,lon,is_new_development,is_recovery,recovery_flags,first_seen,last_seen,price_per_m2,gross_yield,gross_yield_lo,gross_yield_hi,cap_rate,grm,discount_vs_colonia,rent_hat,rent_source,suspicious_cheap
3573f6ea185afae2,vivanuncios,149849618,https://www.vivanuncios.com.mx/d-desarrollo-evicka/149849618?n_src=Listado&n_pg=1&n_pos=3,Zona Valle Poniente,San Pedro Garza García,5500000,184,3,0.0,0,,,,,,False,False,,2026-06-19,2026-06-19,29891.3,0.133,0.0664,0.2661,0.1085,7.52,0.0,60938.96,hedonic,False
c584a6be4d8b1925,vivanuncios,148972203,https://www.vivanuncios.com.mx/a-venta-departamento/playa-del-carmen-centro/departamento-playa-del-carmen-the-city/148972203?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=6,Playa del Carmen Centro,Playa del Carmen,5850000,93,2,2,0,,,,,,False,False,,2026-06-19,2026-06-19,62903.23,0.0869,0.0434,0.1739,0.0662,11.51,0.0,42363.07,hedonic,False
9c4197ec0c0e0a14,vivanuncios,147564470,https://www.vivanuncios.com.mx/a-venta-departamento/arcos-vallarta/departamento-en-venta-arcos-vallarta-coordenada-living-106/147564470?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=10,Arcos Vallarta,Guadalajara,5100000,106,2,2,2,,,,,,False,False,,2026-06-19,2026-06-19,48113.21,0.1069,0.0534,0.2139,0.0841,9.36,0.0,45424.67,hedonic,False
57bd0bf863ca8b20,vivanuncios,149687393,https://www.vivanuncios.com.mx/a-venta-departamento/miguel-hidalgo/departamento-en-venta-en-tlalpan/149687393?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=12,,Cuauhtémoc,1750000,43,2,2,0,,,,,,False,False,,2026-06-19,2026-06-19,40697.67,0.1925,0.0962,0.3854,0.1544,5.19,-0.2911,28075.0,hedonic,False
3cc86ed150eea741,vivanuncios,149497502,https://www.vivanuncios.com.mx/a-venta-departamento/bacalar/venta-de-departamento-en-bacalar/149497502?n_src=Listado&n_pills=Alberca&n_pg=1&n_pos=13,Bacalar,Quintana Roo,3398000,57,1,1,1,,,,,,False,False,,2026-06-19,2026-06-19,59614.04,0.1154,0.0576,0.231,0.0897,8.67,0.0,32675.37,hedonic,False
249e83c28d2331b0,vivanuncios,149992293,https://www.vivanuncios.com.mx/a-venta-departamento/tlacoquemecatl/departamento-en-venta-en-tlacoquemecatl-del-valle/149992293?n_src=Listado&n_pg=1&n_pos=16,Tlacoquemecatl,Benito Juárez,5350000,124,3,2,1,,,,19.3763488,-99.1748157,False,False,,2026-06-19,2026-06-19,43145.16,0.1107,0.0553,0.2216,0.0878,9.04,0.0,49345.0,hedonic,False
9481dac7cf3889f8,vivanuncios,149393653,https://www.vivanuncios.com.mx/a-venta-departamento/roma-norte/departamento-en-roma-norte/149393653?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=17,Roma Norte,Cuauhtémoc,3735356,37,1,1,0,,,,19.4205778,-99.1591674,False,False,,2026-06-19,2026-06-19,100955.57,0.0834,0.0416,0.1669,0.0607,12.0,0.0,25949.68,hedonic,False
2dc942197a40238e,vivanuncios,150180347,https://www.vivanuncios.com.mx/a-venta-departamento/playa-del-carmen/departamento-3-recamaras-en-playa-del-carmen-entrega-inmediata/150180347?n_src=Listado&n_pills=Alberca&n_pg=1&n_pos=20,Playa del Carmen,Solidaridad,1849998,81,3,2,1,,,,,,False,False,,2026-06-19,2026-06-19,22839.48,0.255,0.1274,0.5105,0.2128,3.92,0.0,39320.05,hedonic,False
63f90bdc158522ab,vivanuncios,150105175,https://www.vivanuncios.com.mx/a-venta-departamento/playa-del-carmen/departamento-de-2-recamaras-en-privada-con-alberca-y-acceso-controlado-en-playa-del-carmen/150105175?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=22,Playa del Carmen,Solidaridad,1300000,65,2,1,1,,,,,,False,False,,2026-06-19,2026-06-19,20000.0,0.3232,0.1615,0.647,0.2704,3.09,-0.1243,35015.81,hedonic,False
751d8dd5ed5f1cbf,vivanuncios,150202778,https://www.vivanuncios.com.mx/a-venta-departamento/playa-del-carmen/departamento-en-venta-en-blanko-living/150202778?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=28,Playa del Carmen,Solidaridad,2650000,44,1,1,0,,,,,,False,False,,2026-06-19,2026-06-19,60227.27,0.1289,0.0644,0.258,0.1002,7.76,1.637,28461.93,hedonic,False
