property_uid,source,source_listing_id,url,colonia,alcaldia,price_mxn,area_m2,bedrooms,bathrooms,parking,floor,has_elevator,year_built,lat,lon,is_new_development,is_recovery,recovery_flags,first_seen,last_seen,price_per_m2,gross_yield,gross_yield_lo,gross_yield_hi,cap_rate,grm,discount_vs_colonia,rent_hat,rent_source,suspicious_cheap
e7a7a18418fd2b63,vivanuncios,150496861,https://www.vivanuncios.com.mx/a-venta-departamento/portales-norte/departamento-planta-baja-en-venta-en-la-col-portales-norte/150496861,Portales Norte,Benito Juárez,4291000,67,2,2,1,,True,,19.3682616,-99.1492813,False,False,,2026-08-19,2026-08-19,64044.78,0.1062,0.0524,0.2154,0.0826,9.41,0.0,37984.61,hedonic,False
5adb90a49e636d77,vivanuncios,147277435,https://www.vivanuncios.com.mx/d-desarrollo-edificare-arquitectura/147277435,Residencial El Refugio,Querétaro,2678716,129,2,0.0,0,,,,,,True,False,,2026-08-19,2026-08-19,20765.24,0.2449,0.1208,0.4965,0.2073,4.08,0.0,54658.85,hedonic,False
56049d9bed9df7a4,vivanuncios,150392447,https://www.vivanuncios.com.mx/d-desarrollo-roca-llosa-construcciones-y-edificaciones-arquitectonicas/150392447,Escandón I Sección,Miguel Hidalgo,3550000,136,2,0.0,0,,,,,,False,False,,2026-08-19,2026-08-19,26102.94,0.1904,0.0939,0.386,0.1592,5.25,0.0,56317.21,hedonic,False
57f9cd581062a1db,vivanuncios,150031886,https://www.vivanuncios.com.mx/a-venta-departamento/aldea-zama/condominio-en-tulum-humana-101-park/150031886,Aldea Zama,Tulum,0,139,2,2,2,,,,,,False,False,,2026-08-19,2026-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57395.36,hedonic,False
3e520a8a2b330315,vivanuncios,146348952,https://www.vivanuncios.com.mx/a-venta-departamento/jesus-del-monte/departamento-en-venta-en-jesus-del-monte/146348952,Jesús del Monte,Huixquilucan,5600000,166,3,1,2,,,,19.3693476,-99.2977738,False,False,,2026-08-19,2026-08-19,33734.94,0.1362,0.0672,0.2762,0.1116,7.34,0.0,63560.41,hedonic,False
12c6fc92767aaf16,vivanuncios,150174101,https://www.vivanuncios.com.mx/a-venta-departamento/cancun/departamento-en-venta-en-zona-exclusiva-de-cancun-ideal-para-airbnb/150174101,Cancún,Benito Juárez,2448000,87,2,2,1,,,,,,False,False,,2026-08-19,2026-08-19,28137.93,0.2158,0.1065,0.4376,0.1797,4.63,0.0,44032.63,hedonic,False
e0d7ca338e7ecaaf,vivanuncios,147854302,https://www.vivanuncios.com.mx/a-venta-departamento/tulum-centro/estudio-en-venta-en-tulum-entrega-inmediata-acepta-credito-bancario/147854302,Tulum Centro,Tulum,1449000,50,1,1,1,,,,,,False,False,,2026-08-19,2026-08-19,28980.0,0.2626,0.1295,0.5325,0.2164,3.81,0.0,31714.52,hedonic,False
3019d574bf783b18,vivanuncios,149777945,https://www.vivanuncios.com.mx/a-venta-departamento/aquiles-serdan/departamentos-en-venta-a-5-minutos-de-la-paz-puebla/149777945,Aquiles Serdán,Puebla,1960000,68,3,1,1,,True,,,,False,False,,2026-08-19,2026-08-19,28823.53,0.2349,0.1159,0.4763,0.1949,4.26,0.0,38366.39,hedonic,False
829109b59c3a7604,vivanuncios,145444787,https://www.vivanuncios.com.mx/a-venta-departamento/zazil-ha/desarrollo-exclusivo-a-solo-unos-minutos-del-mar/145444787,Zazil Ha,Playa del Carmen,2316600,33,1,1,0,,True,,,,False,False,,2026-08-19,2026-08-19,70200.0,0.1299,0.0641,0.2633,0.0998,7.7,0.0,25071.93,hedonic,False
7f007d73bd11c0a7,mudafy,14263914,https://mudafy.com.mx/propiedades/avenida-insurgentes-centro-0-departamento-en-venta-203313,,Cuauhtémoc,3190000,37.0,1,1.0,0,,,,19.4385591,-99.1559855,False,False,,2026-08-19,2026-08-19,86216.22,0.1006,0.0496,0.204,0.0756,9.94,0.462,26748.07,hedonic,False
f458d5c67c989533,mudafy,903250,https://mudafy.com.mx/propiedades/circuito-interior-melchor-ocampo-departamento-en-venta-275430,San Rafael,Cuauhtémoc,4608900,79.0,2,2.0,0,,,,19.4394622,-99.1673967,False,False,,2026-08-19,2026-08-19,58340.51,0.1086,0.0535,0.2201,0.0852,9.21,-0.0056,41694.56,hedonic,False
7159af7276ca7286,mudafy,373886,https://mudafy.com.mx/propiedades/prolongacion-paseo-de-la-reforma-489-santa-fe-zedec-santa-fe-ciudad-d-departamento-en-venta-587537,,Cuauhtémoc,4560000,70.0,1,1.0,0,,,,19.3770142,-99.2587179,False,False,,2026-08-19,2026-08-19,65142.86,0.101,0.0498,0.2047,0.0781,9.91,0.1046,38362.94,hedonic,False
56448068077e6087,mudafy,14179676,https://mudafy.com.mx/propiedades/calle-lago-guija-100-departamento-en-venta-087954,,Cuauhtémoc,3990000,100.0,2,2.0,0,,,,19.459138,-99.1944199,False,False,,2026-08-19,2026-08-19,39900.0,0.1433,0.0707,0.2905,0.1164,6.98,-0.3234,47641.35,hedonic,False
fa8700f691262052,mudafy,8936167,https://mudafy.com.mx/propiedades/avenida-paseo-de-la-reforma-400-departamento-en-venta-039492,,Cuauhtémoc,4950000,89.0,2,2.0,0,,,,19.3767475,-99.25884,False,False,,2026-08-19,2026-08-19,55617.98,0.1081,0.0533,0.2192,0.0851,9.25,-0.0569,44602.36,hedonic,False
219f473ad0f239b2,mudafy,10546017,https://mudafy.com.mx/propiedades/lago-neuchatel-7-granada-ciudad-de-mexico-cdmx-mexico-departamento-en-venta-960914,,Cuauhtémoc,5928259,67.17,2,2.0,0,,,,19.4420241,-99.2012798,False,False,,2026-08-19,2026-08-19,88257.54,0.077,0.038,0.1561,0.0571,12.99,0.4966,38039.09,hedonic,False
982ea7f4bcd0555c,mudafy,12982034,https://mudafy.com.mx/propiedades/cerrada-claudio-arciniega-0-departamento-en-venta-767920,,Cuauhtémoc,4880000,101.0,2,2.0,0,,,,19.3677374,-99.1894874,False,False,,2026-08-19,2026-08-19,48316.83,0.1178,0.0581,0.2389,0.094,8.49,-0.1807,47910.24,hedonic,False
93d8578b4c18b8d3,mudafy,12507508,https://mudafy.com.mx/propiedades/calzada-melchor-ocampo-departamento-en-venta-059327,,Cuauhtémoc,6000000,92.0,2,2.0,0,,,,19.4288893,-99.1744417,False,False,,2026-08-19,2026-08-19,65217.39,0.0909,0.0448,0.1843,0.07,11.0,0.1059,45446.62,hedonic,False
ca46b45d8957f39a,mudafy,8643336,https://mudafy.com.mx/propiedades/prolongacion-uxmal-1000-departamento-en-venta-985724,,Cuauhtémoc,4800000,128.0,3,2.0,0,,,,19.3625135,-99.160157,False,False,,2026-08-19,2026-08-19,37500.0,0.1381,0.0681,0.28,0.1126,7.24,-0.3641,55233.76,hedonic,False
a757d9670c957ee3,mudafy,12185059,https://mudafy.com.mx/propiedades/miguel-e-schultz-departamento-en-venta-239534,San Rafael,Cuauhtémoc,3843000,51.6,1,1.0,0,,,,19.4375426,-99.1608172,False,False,,2026-08-19,2026-08-19,74476.74,0.1008,0.0497,0.2044,0.077,9.92,0.2694,32284.63,hedonic,False
a752a117f38f4e1f,mudafy,10459256,https://mudafy.com.mx/propiedades/boulevard-adolfo-lopez-mateos-departamento-en-venta-234819,,Cuauhtémoc,3600000,52.0,1,1.0,0,,,,19.3677573,-99.1914299,False,False,,2026-08-19,2026-08-19,69230.77,0.1081,0.0533,0.2191,0.0833,9.25,0.174,32425.95,hedonic,False
