property_uid,source,source_listing_id,url,colonia,alcaldia,price_mxn,area_m2,bedrooms,bathrooms,parking,floor,has_elevator,year_built,lat,lon,is_new_development,is_recovery,recovery_flags,first_seen,last_seen,price_per_m2,gross_yield,gross_yield_lo,gross_yield_hi,cap_rate,grm,discount_vs_colonia,rent_hat,rent_source,suspicious_cheap
53e9df797f8edb4f,vivanuncios,150392447,https://www.vivanuncios.com.mx/d-desarrollo-roca-llosa-construcciones-y-edificaciones-arquitectonicas/150392447?n_src=Listado&n_pg=1&n_pos=1,Escandón I Sección,Miguel Hidalgo,4050000,190,2,0.0,0,,,,,,False,False,,2026-07-15,2026-07-15,21315.79,0.1982,0.0999,0.3932,0.1672,5.05,0.0,66878.2,hedonic,False
a3c19aefb47f15c1,vivanuncios,150474573,https://www.vivanuncios.com.mx/a-venta-departamento/bosque-residencial-del-sur/departamento-en-venta-en-bosque-residencial-del-sur/150474573?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=4,Bosque Residencial del Sur,Xochimilco,3200000,95,3,2,1,,,,,,False,False,,2026-07-15,2026-07-15,33684.21,0.1728,0.0871,0.343,0.1423,5.79,0.0,46088.75,hedonic,False
3573f6ea185afae2,vivanuncios,149849618,https://www.vivanuncios.com.mx/d-desarrollo-evicka/149849618?n_src=Listado&n_pg=1&n_pos=5,Zona Valle Poniente,San Pedro Garza García,5500000,184,3,0.0,0,,,,,,False,False,,2026-07-15,2026-07-15,29891.3,0.1457,0.0734,0.2892,0.1203,6.86,0.0,66798.17,hedonic,False
b2dce06ce392e12a,vivanuncios,148599278,https://www.vivanuncios.com.mx/a-venta-departamento/supermanzana-7/departamento-en-venta-enta-3-recamaras-amueblado-y-equipado-malecon-americas-sm-7-cancun/148599278?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=10,Supermanzana 7,Cancún,5750987,145,3,2,2,,,,,,False,False,,2026-07-15,2026-07-15,39661.98,0.1207,0.0608,0.2396,0.0974,8.28,0.0,57869.07,hedonic,False
1227b726b99edcd6,vivanuncios,146668133,https://www.vivanuncios.com.mx/a-venta-departamento/fraccionamiento-altabrisa/hermoso-departamento-amueblado-dentro-de-la-ciudad/146668133?n_src=Listado&n_pills=Alberca&n_pg=1&n_pos=12,Fraccionamiento Altabrisa,Mérida,4200000,140,2,2,2,,,,,,False,False,,2026-07-15,2026-07-15,30000.0,0.1597,0.0805,0.3168,0.1318,6.26,0.0,55880.71,hedonic,False
7c38a4d727c41e44,vivanuncios,148925393,https://www.vivanuncios.com.mx/a-venta-departamento/portales-norte/departamento-exterior-en-venta-en-benito-juarez/148925393?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=14,Portales Norte,Benito Juárez,4076004,77,2,2,1,,,,19.3682616,-99.1492813,False,False,,2026-07-15,2026-07-15,52935.12,0.1192,0.0601,0.2366,0.0944,8.39,0.0,40504.67,hedonic,False
bc1a8e2f1fc1f55e,vivanuncios,149187475,https://www.vivanuncios.com.mx/a-venta-departamento/barrio-san-antonio/venta-de-departamento-2-recamaras-en-el-centro-historico-de-puebla/149187475?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=16,Barrio San Antonio,Puebla,1472000,52,2,1,1,,,,,,False,False,,2026-07-15,2026-07-15,28307.69,0.2714,0.1368,0.5386,0.2247,3.68,0.0,33294.24,hedonic,False
e95e0bee6879d7f7,vivanuncios,148079836,https://www.vivanuncios.com.mx/a-venta-departamento/pueblo-sanctorum/venta-de-departamento-de-80-m-sup2--excelente-para-inversion-muy-cerca-de-volkswagen-y-capu/148079836?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=17,Pueblo Sanctorum,Cuautlancingo,1368630,80,3,2,1,,,,,,False,False,,2026-07-15,2026-07-15,17107.88,0.3684,0.1856,0.731,0.313,2.71,0.0,42016.65,hedonic,False
60f6e9ed6f7c4f7b,vivanuncios,150447256,https://www.vivanuncios.com.mx/a-venta-departamento/dzitya/ultimos-departamentos-de-dos-recamaras-en-dzitya/150447256?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=20,Dzityá,Mérida,1650000,45,1,1,1,,,,,,False,False,,2026-07-15,2026-07-15,36666.67,0.2204,0.1111,0.4374,0.1794,4.54,0.0,30310.21,hedonic,False
9826206570628e15,vivanuncios,150481556,https://www.vivanuncios.com.mx/a-venta-departamento/del-paseo-residencia/departamento-con-terraza-privada-vistas-panoramicas-en-venta/150481556?n_src=Listado&n_pills=Patio&n_pg=1&n_pos=21,Del Paseo Residencia,Monterrey,5900000,67,1,1,0,,,,,,False,False,,2026-07-15,2026-07-15,88059.7,0.0764,0.0385,0.1516,0.0566,13.09,0.0,37552.32,hedonic,False
