property_uid,source,source_listing_id,url,colonia,alcaldia,price_mxn,area_m2,bedrooms,bathrooms,parking,floor,has_elevator,year_built,lat,lon,is_new_development,is_recovery,recovery_flags,first_seen,last_seen,price_per_m2,gross_yield,gross_yield_lo,gross_yield_hi,cap_rate,grm,discount_vs_colonia,rent_hat,rent_source,suspicious_cheap
306f5060efb08008,vivanuncios,141740424,https://www.vivanuncios.com.mx/a-venta-departamento/aviacion/condominio-con-excelente-ubicacion/141740424?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=2,Aviación,Solidaridad,3700000,87,2,2,1,,,,,,False,False,,2026-06-21,2026-06-21,42528.74,0.1326,0.0662,0.2654,0.1061,7.54,0.0,40882.81,hedonic,False
3291b36d1b755f86,vivanuncios,149003422,https://www.vivanuncios.com.mx/a-venta-departamento/solidaridad/venta-departamento-playa-del-carmen/149003422?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=7,Solidaridad,Quintana Roo,1946000,81,3,3,0,,,,,,False,False,,2026-06-21,2026-06-21,24024.69,0.2423,0.1211,0.4851,0.2017,4.13,0.0,39297.96,hedonic,False
c37908eaaebfd5f1,vivanuncios,146542717,https://www.vivanuncios.com.mx/a-venta-departamento/juriquilla/departamento-en-venta-en-wise-living-juriquilla-queretaro/146542717?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=8,Juriquilla,Querétaro,4890000,114,2,2,2,,True,,,,False,False,,2026-06-21,2026-06-21,42894.74,0.1159,0.0579,0.232,0.0922,8.63,0.0,47221.95,hedonic,False
e2d9938e5664e9a5,vivanuncios,147514442,https://www.vivanuncios.com.mx/a-venta-departamento/centro/departamento-en-venta-colonia-centro-cuauhtemoc-ciudad-de-mexico/147514442?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=9,Centro,Cuauhtémoc,2490000,33,1,1,0,,True,,19.4350386,-99.1403951,False,False,,2026-06-21,2026-06-21,75454.55,0.1177,0.0588,0.2355,0.0892,8.5,0.0,24413.66,hedonic,False
2fdc2d7a7dbf2057,vivanuncios,150131044,https://www.vivanuncios.com.mx/a-venta-departamento/playa-del-carmen/entrega-inmediata-departamento-en-playa-del-carmen-3-habitaciones/150131044?n_src=Listado&n_pills=%C3%81rea+de+juegos+infantiles&n_pg=1&n_pos=10,Playa del Carmen,Solidaridad,2428000,99,3,2,2,,,,,,False,False,,2026-06-21,2026-06-21,24525.25,0.2163,0.108,0.4329,0.1801,4.62,0.0,43761.52,hedonic,False
905146b1c2fda0e5,vivanuncios,149446692,https://www.vivanuncios.com.mx/a-venta-departamento/aqua-residencial/departamento-aqua-cascades/149446692?n_src=Listado&n_pills=Escuelas+cercanas&n_pg=1&n_pos=16,Aqua Residencial,Cancún,4900000,157,3,2,2,,,,,,False,False,,2026-06-21,2026-06-21,31210.19,0.1371,0.0685,0.2743,0.1118,7.3,0.0,55962.36,hedonic,False
0d91c8a29ad5769f,vivanuncios,149119837,https://www.vivanuncios.com.mx/a-venta-departamento/cancun/departamento-en-venta-en-cancun-quintana-roo/149119837?n_src=Listado&n_pills=%C3%81rea+de+juegos+infantiles&n_pg=1&n_pos=18,Cancún,Benito Juárez,3150900,75,2,2,1,,,,,,False,False,,2026-06-21,2026-06-21,42012.0,0.1439,0.0719,0.288,0.1154,6.95,0.0,37771.52,hedonic,False
9ee9607ea5daa69b,vivanuncios,148590423,https://www.vivanuncios.com.mx/a-venta-departamento/playa-del-carmen-centro/venta-flash-departamento-con-estilo-caribeno-y-balcon-privado-en-venta-centro-playa-del-carmen/148590423?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=19,Playa del Carmen Centro,Playa del Carmen,2780000,48,1,1,0,,,,,,False,False,,2026-06-21,2026-06-21,57916.67,0.1287,0.0643,0.2576,0.1004,7.77,0.0,29813.81,hedonic,False
64885b6e7107442c,vivanuncios,149432234,https://www.vivanuncios.com.mx/a-venta-departamento/puerto-vallarta/torre-havre-290-lujo-y-estilo-en-puerto-vallarta/149432234?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=21,Puerto Vallarta,Jalisco,4300000,80,2,2,1,,True,,,,False,False,,2026-06-21,2026-06-21,53750.0,0.1091,0.0545,0.2184,0.0853,9.17,0.0,39094.21,hedonic,False
24553d5819dfed66,vivanuncios,149323404,https://www.vivanuncios.com.mx/a-venta-departamento/plaza-del-parque/departamento-venta-la-gota/149323404?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=24,Plaza del Parque,Querétaro,4200000,133,2,2,2,,,,,,False,False,,2026-06-21,2026-06-21,31578.95,0.1465,0.0732,0.2932,0.1197,6.83,0.0,51268.14,hedonic,False
