property_uid,source,source_listing_id,url,colonia,alcaldia,price_mxn,area_m2,bedrooms,bathrooms,parking,floor,has_elevator,year_built,lat,lon,is_new_development,is_recovery,recovery_flags,first_seen,last_seen,price_per_m2,gross_yield,gross_yield_lo,gross_yield_hi,cap_rate,grm,discount_vs_colonia,rent_hat,rent_source,suspicious_cheap
20616333fbebee0f,vivanuncios,148369211,https://www.vivanuncios.com.mx/a-venta-departamento/roma/departamento-en-venta-en-la-col-roma/148369211,Roma,Cuauhtémoc,4699997,69,1,1,0,,True,,19.4246141,-99.1520014,False,False,,2026-07-23,2026-07-23,68115.9,0.0934,0.0421,0.2072,0.0712,10.71,0.0,36578.14,hedonic,False
53e9df797f8edb4f,vivanuncios,150392447,https://www.vivanuncios.com.mx/d-desarrollo-roca-llosa-construcciones-y-edificaciones-arquitectonicas/150392447,Escandón I Sección,Miguel Hidalgo,3550000,190,2,0.0,0,,,,,,False,False,,2026-07-23,2026-07-23,18684.21,0.2172,0.0979,0.482,0.184,4.6,0.0,64263.09,hedonic,False
380416e381d2f601,vivanuncios,150441997,https://www.vivanuncios.com.mx/a-venta-departamento/san-pedro-de-los-pinos/venta-departamento-en-san-pedro-de-los-pinos-benito-juarez/150441997,San Pedro de los Pinos,Benito Juárez,5100000,75,2,2,2,,,,19.3915073,-99.1855297,False,False,,2026-07-23,2026-07-23,68000.0,0.0885,0.0399,0.1963,0.0671,11.3,0.0,37600.35,hedonic,False
50bf58c0c0df3036,vivanuncios,150190851,https://www.vivanuncios.com.mx/a-venta-departamento/playa-del-carmen-centro/departamento-en-venta-en-playa-del-carmen-3-habitaciones-alberca-con-vista-al-mar-y-jacuzzi/150190851,Playa del Carmen Centro,Playa del Carmen,3648000,59,2,2,4,,,,,,False,False,,2026-07-23,2026-07-23,61830.51,0.1076,0.0485,0.2387,0.0829,9.3,0.0,32700.94,hedonic,False
9fa1714231bc9029,vivanuncios,149170854,https://www.vivanuncios.com.mx/a-venta-departamento/narvarte-poniente/departamento-con-roof-garden-privado-en-narvarte-poniente/149170854,,Cuauhtémoc,5199000,92,2,2,2,,True,,,,False,False,,2026-07-23,2026-07-23,56510.87,0.0977,0.044,0.2169,0.0757,10.23,-0.0135,42346.27,hedonic,False
5e6d525279d56072,vivanuncios,149605597,https://www.vivanuncios.com.mx/a-venta-departamento/loma-alta/departamento-en-venta-en-loma-alta-san-luis-potosi/149605597,Loma Alta,San Luis Potosí,3145000,106,2,2,2,,,,,,False,False,,2026-07-23,2026-07-23,29669.81,0.1755,0.0791,0.3893,0.1446,5.7,0.0,45984.12,hedonic,False
37023e61b4cb2c85,vivanuncios,149631417,https://www.vivanuncios.com.mx/a-venta-departamento/del-valle-norte/venta-de-departamento-en-la-del-valle/149631417,Del Valle Norte,Benito Juárez,4592750,64,2,2,1,,,,19.3788814,-99.1587376,False,False,,2026-07-23,2026-07-23,71761.72,0.0896,0.0404,0.1988,0.0676,11.16,0.0,34285.85,hedonic,False
55c3f59187fd57a7,vivanuncios,147764425,https://www.vivanuncios.com.mx/a-venta-departamento/narvarte-poniente/departamento-interior-en-narvarte-poniente/147764425,,Cuauhtémoc,5300000,82,2,2,2,,,,,,False,False,,2026-07-23,2026-07-23,64634.15,0.0897,0.0404,0.199,0.0684,11.15,0.1284,39604.0,hedonic,False
e090b1aa35a448ac,vivanuncios,148957073,https://www.vivanuncios.com.mx/a-venta-departamento/juarez/departamento-en-venta-en-colonia-juarez/148957073,Juárez,Cuauhtémoc,5000000,77,1,1,0,,,,19.4260273,-99.1588658,False,False,,2026-07-23,2026-07-23,64935.06,0.1087,0.049,0.2411,0.0856,9.2,0.0,45277.69,hedonic,False
0a749ac254c3fdad,vivanuncios,149257158,https://www.vivanuncios.com.mx/a-venta-departamento/carola/acogedor-y-funcional-departamento/149257158,Carola,Alvaro Obregón,3800000,60,2,1,2,,,,19.38438,-99.1963085,False,False,,2026-07-23,2026-07-23,63333.33,0.1038,0.0468,0.2303,0.0797,9.64,0.0,32862.35,hedonic,False
eac324100cefe245,vivanuncios,150395857,https://www.vivanuncios.com.mx/a-venta-departamento/cancun/departamento-en-venta-en-olivia-lausana-residencial-cancun/150395857,Cancún,Benito Juárez,3646000,71,1,1,1,,,,,,False,False,,2026-07-23,2026-07-23,51352.11,0.1224,0.0552,0.2716,0.0966,8.17,0.0,37191.32,hedonic,False
a458edb14e20ae19,vivanuncios,146018168,https://www.vivanuncios.com.mx/a-venta-departamento/playa-del-carmen/departamento-en-venta-playa-del-carmen-quintana-roo/146018168,Playa del Carmen,Solidaridad,2000000,34,1,1,0,,,,,,False,False,,2026-07-23,2026-07-23,58823.53,0.1454,0.0655,0.3226,0.1126,6.88,0.0,24231.81,hedonic,False
7f007d73bd11c0a7,mudafy,14263914,https://mudafy.com.mx/propiedades/avenida-insurgentes-centro-0-departamento-en-venta-203313,,Cuauhtémoc,3190000,37.0,1,1.0,0,,,,19.4385591,-99.1559855,False,False,,2026-07-23,2026-07-23,86216.22,0.0958,0.0432,0.2125,0.0711,10.44,0.5051,25453.77,hedonic,False
fa8700f691262052,mudafy,8936167,https://mudafy.com.mx/propiedades/avenida-paseo-de-la-reforma-400-departamento-en-venta-039492,,Cuauhtémoc,4950000,89.0,2,2.0,0,,,,19.3767475,-99.25884,False,False,,2026-07-23,2026-07-23,55617.98,0.1007,0.0454,0.2234,0.0782,9.93,-0.029,41537.29,hedonic,False
56448068077e6087,mudafy,14179676,https://mudafy.com.mx/propiedades/calle-lago-guija-100-departamento-en-venta-087954,,Cuauhtémoc,3990000,100.0,2,2.0,0,,,,19.459138,-99.1944199,False,False,,2026-07-23,2026-07-23,39900.0,0.1337,0.0602,0.2967,0.1076,7.48,-0.3034,44451.28,hedonic,False
f458d5c67c989533,mudafy,903250,https://mudafy.com.mx/propiedades/circuito-interior-melchor-ocampo-departamento-en-venta-275430,San Rafael,Cuauhtémoc,4608900,79.0,2,2.0,0,,,,19.4394622,-99.1673967,False,False,,2026-07-23,2026-07-23,58340.51,0.049,0.0221,0.1086,0.0301,20.42,-0.0028,18804.92,hedonic,False
c4bd49aa7cff97c3,mudafy,373886,https://mudafy.com.mx/propiedades/prolongacion-paseo-de-la-reforma-departamento-en-venta-404834,,Cuauhtémoc,4273412,72.15,2,2.0,0,,,,19.3770142,-99.2587179,False,False,,2026-07-23,2026-07-23,59229.55,0.1032,0.0465,0.2291,0.0798,9.69,0.034,36762.3,hedonic,False
