property_uid,source,source_listing_id,url,colonia,alcaldia,price_mxn,area_m2,bedrooms,bathrooms,parking,floor,has_elevator,year_built,lat,lon,is_new_development,is_recovery,recovery_flags,first_seen,last_seen,price_per_m2,gross_yield,gross_yield_lo,gross_yield_hi,cap_rate,grm,discount_vs_colonia,rent_hat,rent_source,suspicious_cheap
7f007d73bd11c0a7,mudafy,14263914,https://mudafy.com.mx/propiedades/avenida-insurgentes-centro-0-departamento-en-venta-203313,,Cuauhtémoc,3190000,37.0,1,1.0,0,,,,19.4385591,-99.1559855,False,False,,2026-08-17,2026-08-17,86216.22,0.1006,0.0496,0.204,0.0756,9.94,0.485,26748.07,hedonic,False
f458d5c67c989533,mudafy,903250,https://mudafy.com.mx/propiedades/circuito-interior-melchor-ocampo-departamento-en-venta-275430,San Rafael,Cuauhtémoc,4608900,79.0,2,2.0,0,,,,19.4394622,-99.1673967,False,False,,2026-08-17,2026-08-17,58340.51,0.1086,0.0535,0.2201,0.0852,9.21,-0.0056,41694.56,hedonic,False
56448068077e6087,mudafy,14179676,https://mudafy.com.mx/propiedades/calle-lago-guija-100-departamento-en-venta-087954,,Cuauhtémoc,3990000,100.0,2,2.0,0,,,,19.459138,-99.1944199,False,False,,2026-08-17,2026-08-17,39900.0,0.1433,0.0707,0.2905,0.1164,6.98,-0.3128,47641.35,hedonic,False
c4bd49aa7cff97c3,mudafy,373886,https://mudafy.com.mx/propiedades/prolongacion-paseo-de-la-reforma-departamento-en-venta-404834,,Cuauhtémoc,4273412,72.15,2,2.0,0,,,,19.3770142,-99.2587179,False,False,,2026-08-17,2026-08-17,59229.55,0.1112,0.0549,0.2255,0.0872,8.99,0.0202,39609.47,hedonic,False
fa8700f691262052,mudafy,8936167,https://mudafy.com.mx/propiedades/avenida-paseo-de-la-reforma-400-departamento-en-venta-039492,,Cuauhtémoc,4950000,89.0,2,2.0,0,,,,19.3767475,-99.25884,False,False,,2026-08-17,2026-08-17,55617.98,0.1081,0.0533,0.2192,0.0851,9.25,-0.042,44602.36,hedonic,False
219f473ad0f239b2,mudafy,10546017,https://mudafy.com.mx/propiedades/lago-neuchatel-7-granada-ciudad-de-mexico-cdmx-mexico-departamento-en-venta-960914,,Cuauhtémoc,5928259,67.17,2,2.0,0,,,,19.4420241,-99.2012798,False,False,,2026-08-17,2026-08-17,88257.54,0.077,0.038,0.1561,0.0571,12.99,0.5202,38039.09,hedonic,False
93d8578b4c18b8d3,mudafy,12507508,https://mudafy.com.mx/propiedades/calzada-melchor-ocampo-departamento-en-venta-059327,,Cuauhtémoc,6000000,92.0,2,2.0,0,,,,19.4288893,-99.1744417,False,False,,2026-08-17,2026-08-17,65217.39,0.0909,0.0448,0.1843,0.07,11.0,0.1233,45446.62,hedonic,False
982ea7f4bcd0555c,mudafy,12982034,https://mudafy.com.mx/propiedades/cerrada-claudio-arciniega-0-departamento-en-venta-767920,,Cuauhtémoc,4880000,101.0,2,2.0,0,,,,19.3677374,-99.1894874,False,False,,2026-08-17,2026-08-17,48316.83,0.1178,0.0581,0.2389,0.094,8.49,-0.1678,47910.24,hedonic,False
ca46b45d8957f39a,mudafy,8643336,https://mudafy.com.mx/propiedades/prolongacion-uxmal-1000-departamento-en-venta-985724,,Cuauhtémoc,4800000,128.0,3,2.0,0,,,,19.3625135,-99.160157,False,False,,2026-08-17,2026-08-17,37500.0,0.1381,0.0681,0.28,0.1126,7.24,-0.3541,55233.76,hedonic,False
a757d9670c957ee3,mudafy,12185059,https://mudafy.com.mx/propiedades/miguel-e-schultz-departamento-en-venta-239534,San Rafael,Cuauhtémoc,3843000,51.6,1,1.0,0,,,,19.4375426,-99.1608172,False,False,,2026-08-17,2026-08-17,74476.74,0.1008,0.0497,0.2044,0.077,9.92,0.2694,32284.63,hedonic,False
