property_uid,source,source_listing_id,url,colonia,alcaldia,price_mxn,area_m2,bedrooms,bathrooms,parking,floor,has_elevator,year_built,lat,lon,is_new_development,is_recovery,recovery_flags,first_seen,last_seen,price_per_m2,gross_yield,gross_yield_lo,gross_yield_hi,cap_rate,grm,discount_vs_colonia,rent_hat,rent_source,suspicious_cheap
7f007d73bd11c0a7,mudafy,14263914,https://mudafy.com.mx/propiedades/avenida-insurgentes-centro-0-departamento-en-venta-203313,,Cuauhtémoc,3000000,37.0,1,1.0,0,,,,19.4385591,-99.1559855,False,False,,2026-08-30,2026-08-30,81081.08,0.1132,0.0568,0.2255,0.0867,8.83,0.3689,28302.51,hedonic,False
f458d5c67c989533,mudafy,903250,https://mudafy.com.mx/propiedades/circuito-interior-melchor-ocampo-departamento-en-venta-275430,San Rafael,Cuauhtémoc,4608900,79.0,2,2.0,0,,,,19.4394622,-99.1673967,False,False,,2026-08-30,2026-08-30,58340.51,0.1155,0.058,0.2301,0.0915,8.66,-0.0056,44351.7,hedonic,False
7159af7276ca7286,mudafy,373886,https://mudafy.com.mx/propiedades/prolongacion-paseo-de-la-reforma-489-santa-fe-zedec-santa-fe-ciudad-d-departamento-en-venta-587537,,Cuauhtémoc,4560000,70.0,1,1.0,0,,,,19.3770142,-99.2587179,False,False,,2026-08-30,2026-08-30,65142.86,0.1074,0.0539,0.2139,0.084,9.31,0.0998,40807.17,hedonic,False
fa8700f691262052,mudafy,8936167,https://mudafy.com.mx/propiedades/avenida-paseo-de-la-reforma-400-departamento-en-venta-039492,,Cuauhtémoc,5215000,89.0,2,2.0,0,,,,19.3767475,-99.25884,False,False,,2026-08-30,2026-08-30,58595.51,0.1093,0.0549,0.2177,0.0864,9.15,-0.0108,47491.64,hedonic,False
56448068077e6087,mudafy,14179676,https://mudafy.com.mx/propiedades/calle-lago-guija-100-departamento-en-venta-087954,,Cuauhtémoc,3990000,100.0,2,2.0,0,,,,19.459138,-99.1944199,False,False,,2026-08-30,2026-08-30,39900.0,0.1527,0.0767,0.3042,0.1251,6.55,-0.3264,50776.45,hedonic,False
219f473ad0f239b2,mudafy,10546017,https://mudafy.com.mx/propiedades/lago-neuchatel-7-granada-ciudad-de-mexico-cdmx-mexico-departamento-en-venta-960914,,Cuauhtémoc,5928259,67.17,2,2.0,0,,,,19.4420241,-99.2012798,False,False,,2026-08-30,2026-08-30,88257.54,0.0818,0.0411,0.163,0.0616,12.23,0.49,40408.97,hedonic,False
93d8578b4c18b8d3,mudafy,12507508,https://mudafy.com.mx/propiedades/calzada-melchor-ocampo-departamento-en-venta-059327,,Cuauhtémoc,6000000,92.0,2,2.0,0,,,,19.4288893,-99.1744417,False,False,,2026-08-30,2026-08-30,65217.39,0.0968,0.0486,0.1929,0.0755,10.33,0.101,48403.87,hedonic,False
a757d9670c957ee3,mudafy,12185059,https://mudafy.com.mx/propiedades/miguel-e-schultz-departamento-en-venta-239534,San Rafael,Cuauhtémoc,3843000,51.6,1,1.0,0,,,,19.4375426,-99.1608172,False,False,,2026-08-30,2026-08-30,74476.74,0.107,0.0537,0.2131,0.0827,9.35,0.2694,34255.0,hedonic,False
982ea7f4bcd0555c,mudafy,12982034,https://mudafy.com.mx/propiedades/cerrada-claudio-arciniega-0-departamento-en-venta-767920,,Cuauhtémoc,4880000,101.0,2,2.0,0,,,,19.3677374,-99.1894874,False,False,,2026-08-30,2026-08-30,48316.83,0.1256,0.063,0.2502,0.1011,7.96,-0.1843,51067.24,hedonic,False
5caeddfb6e1d472d,mudafy,759822,https://mudafy.com.mx/propiedades/boulevard-adolfo-lopez-mateos-2020-los-alpes-ciudad-de-mexico-cdmx-me-departamento-en-venta-057412,,Cuauhtémoc,5090333,81.42,1,1.0,0,,,,19.3576688,-99.1952096,False,False,,2026-08-30,2026-08-30,62519.44,0.1049,0.0527,0.209,0.0823,9.53,0.0555,44504.46,hedonic,False
a752a117f38f4e1f,mudafy,10459256,https://mudafy.com.mx/propiedades/boulevard-adolfo-lopez-mateos-departamento-en-venta-234819,,Cuauhtémoc,3600000,52.0,1,1.0,0,,,,19.3677573,-99.1914299,False,False,,2026-08-30,2026-08-30,69230.77,0.1147,0.0576,0.2285,0.0894,8.72,0.1688,34407.15,hedonic,False
e5751a720a0891bf,mudafy,6017541,https://mudafy.com.mx/propiedades/calle-moctezuma-departamento-en-venta-313354,,Cuauhtémoc,2700000,80.0,2,1.0,0,,,,19.3592037,-99.2486171,False,False,,2026-08-30,2026-08-30,33750.0,0.1977,0.0992,0.3939,0.1639,5.06,-0.4302,44484.02,hedonic,False
45bd30f2611ec4ce,mudafy,13746187,https://mudafy.com.mx/propiedades/canalito-departamento-en-venta-130092,,Cuauhtémoc,4500000,97.76,2,2.0,0,,,,19.3387198,-99.2084734,False,False,,2026-08-30,2026-08-30,46031.1,0.1337,0.0671,0.2663,0.1082,7.48,-0.2229,50120.55,hedonic,False
ca46b45d8957f39a,mudafy,8643336,https://mudafy.com.mx/propiedades/prolongacion-uxmal-1000-departamento-en-venta-985724,,Cuauhtémoc,4800000,128.0,3,2.0,0,,,,19.3625135,-99.160157,False,False,,2026-08-30,2026-08-30,37500.0,0.1477,0.0741,0.2942,0.1215,6.77,-0.3669,59071.26,hedonic,False
446b221132ef576b,mudafy,14263014,https://mudafy.com.mx/propiedades/avenida-insurgentes-sur-2239-departamento-en-venta-986695,,Cuauhtémoc,4990000,86.56,3,2.0,0,,,,19.3424398,-99.1896673,False,False,,2026-08-30,2026-08-30,57647.87,0.1135,0.057,0.2261,0.0901,8.81,-0.0268,47192.64,hedonic,False
e592e2b64ab44f24,mudafy,13854160,https://mudafy.com.mx/propiedades/avenida-benjamin-franklin-0-departamento-en-venta-927820,,Cuauhtémoc,5400214,68.0,2,2.0,0,,,,19.4073236,-99.1833929,False,False,,2026-08-30,2026-08-30,79414.91,0.0904,0.0454,0.1802,0.0692,11.06,0.3407,40694.78,hedonic,False
8e46a994fbae0198,mudafy,903272,https://mudafy.com.mx/propiedades/circuito-interior-melchor-ocampo-departamento-en-venta-210074,San Rafael,Cuauhtémoc,4107000,70.0,2,2.0,0,,,,19.4394622,-99.1673967,False,False,,2026-08-30,2026-08-30,58671.43,0.1209,0.0607,0.2409,0.0959,8.27,0.0,41377.44,hedonic,False
