property_uid,source,source_listing_id,url,colonia,alcaldia,price_mxn,area_m2,bedrooms,bathrooms,parking,floor,has_elevator,year_built,lat,lon,is_new_development,is_recovery,recovery_flags,first_seen,last_seen,price_per_m2,gross_yield,gross_yield_lo,gross_yield_hi,cap_rate,grm,discount_vs_colonia,rent_hat,rent_source,suspicious_cheap
3573f6ea185afae2,vivanuncios,149849618,https://www.vivanuncios.com.mx/d-desarrollo-evicka/149849618?n_src=Listado&n_pg=1&n_pos=1,Zona Valle Poniente,San Pedro Garza García,5500000,184,3,0.0,0,,,,,,False,False,,2026-07-16,2026-07-16,29891.3,0.1457,0.0734,0.2892,0.1203,6.86,0.0,66798.17,hedonic,False
f78f8fc2f74c4a12,vivanuncios,147409516,https://www.vivanuncios.com.mx/a-venta-departamento/roma-sur/departamento-tipo-loft-en-venta-en-la-colonia-roma/147409516?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=9,Roma Sur,Cuauhtémoc,4800000,69,1,1,0,,True,,19.4037015,-99.1647831,False,False,,2026-07-16,2026-07-16,69565.22,0.163,0.0821,0.3234,0.1356,6.14,-0.09,65196.24,hedonic,False
7d8821994700ad56,vivanuncios,147113525,https://www.vivanuncios.com.mx/a-venta-departamento/portales-norte/departamento-en-venta-en-la-colonia-portales-norte/147113525?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=10,Portales Norte,Benito Juárez,4464164,70,2,2,1,,True,,19.3682616,-99.1492813,False,False,,2026-07-16,2026-07-16,63773.77,0.1034,0.0521,0.2053,0.0803,9.67,0.0,38479.05,hedonic,False
048211aaafb8d226,vivanuncios,148396944,https://www.vivanuncios.com.mx/a-venta-departamento/letran-valle/departamento-exterior-en-venta-en-la-col-letran-valle/148396944?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=11,Letrán Valle,Benito Juárez,4281017,68,2,2,1,,True,,,,False,False,,2026-07-16,2026-07-16,62956.13,0.1062,0.0535,0.2107,0.0826,9.42,0.0,37883.31,hedonic,False
62c22adb49af168a,vivanuncios,150081388,https://www.vivanuncios.com.mx/a-venta-departamento/bello-horizonte/departamento-en-venta-recta-a-cholula/150081388?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=12,Bello Horizonte,Puebla,2800000,121,0,2,1,,,,,,True,False,,2026-07-16,2026-07-16,23140.5,0.2214,0.1116,0.4394,0.1861,4.52,0.0,51661.38,hedonic,False
3c32f1465872463c,vivanuncios,148815536,https://www.vivanuncios.com.mx/a-venta-departamento/del-valle-centro/departamento-exterior-en-acacias-del-valle/148815536?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=14,Del Valle Centro,Benito Juárez,5758999,95,2,2,1,,,,19.3891275,-99.1756829,False,False,,2026-07-16,2026-07-16,60621.04,0.0945,0.0476,0.1875,0.0732,10.58,0.0,45353.8,hedonic,False
153eb8ae424a10bf,vivanuncios,150183284,https://www.vivanuncios.com.mx/a-venta-departamento/playa-del-carmen/departamento-en-venta-2-habitaciones-en-playa-del-carmen-con-piscina/150183284?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=15,Playa del Carmen,Solidaridad,1888999,84,2,2,1,,,,,,False,False,,2026-07-16,2026-07-16,22488.08,0.2696,0.1359,0.5351,0.2266,3.71,0.0,42446.88,hedonic,False
51b092ac45e0144b,vivanuncios,149614327,https://www.vivanuncios.com.mx/a-venta-departamento/del-carmen/pent-house-con-roof-privado-de-29-m-sup2--en-monaco-colonia-del-carmen/149614327?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=16,Del Carmen,Benito Juárez,4621000,94,2,2,1,,True,,,,False,False,,2026-07-16,2026-07-16,49159.57,0.1171,0.059,0.2324,0.0931,8.54,0.0,45096.19,hedonic,False
382c31109e7f1517,vivanuncios,144899570,https://www.vivanuncios.com.mx/a-venta-departamento/cruz-de-huanacaxtle/crystal-cove-condominios-de-lujo-frente-al-mar-en-riviera-nayarit/144899570?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=18,Cruz de Huanacaxtle,Bahía de Banderas,5990000,80,0,1,1,,,,,,False,False,,2026-07-16,2026-07-16,74875.0,0.0841,0.0424,0.1669,0.0637,11.89,0.0,41983.0,hedonic,False
497e3d270226fd04,vivanuncios,145099057,https://www.vivanuncios.com.mx/a-venta-departamento/zona-hotelera-norte/cozumel-te-llama-departamento-con-terraza-selva-y-playa-a-4-minutos/145099057?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=25,Zona Hotelera Norte,Cozumel,3990000,64,1,1,1,,,,,,False,False,,2026-07-16,2026-07-16,62343.75,0.1102,0.0555,0.2187,0.0859,9.08,0.0,36637.67,hedonic,False
