property_uid,source,source_listing_id,url,colonia,alcaldia,price_mxn,area_m2,bedrooms,bathrooms,parking,floor,has_elevator,year_built,lat,lon,is_new_development,is_recovery,recovery_flags,first_seen,last_seen,price_per_m2,gross_yield,gross_yield_lo,gross_yield_hi,cap_rate,grm,discount_vs_colonia,rent_hat,rent_source,suspicious_cheap
94ce0ac2d13cb9bd,vivanuncios,150344447,https://www.vivanuncios.com.mx/d-desarrollo-class-experiencia-inmobiliaria/150344447,Juárez,Cuauhtémoc,4500000,80,2,0.0,0,,,,19.4260273,-99.1588658,False,False,,2026-07-22,2026-07-22,56250.0,0.1203,0.0542,0.267,0.0959,8.31,0.0,45116.42,hedonic,False
c0ca19349ab8df59,vivanuncios,149147859,https://www.vivanuncios.com.mx/a-venta-departamento/flamingo/oportunidad-en-nuevo-vallartaubicado-en-nuevo-vallarta-west-dentro-del-exclusivo-desarrollo-ki-gr/149147859,Flamingo,Bahía de Banderas,4000000,100,2,2,1,,True,,,,False,False,,2026-07-22,2026-07-22,40000.0,0.1334,0.0601,0.2959,0.1073,7.5,0.0,44451.28,hedonic,False
53e9df797f8edb4f,vivanuncios,150392447,https://www.vivanuncios.com.mx/d-desarrollo-roca-llosa-construcciones-y-edificaciones-arquitectonicas/150392447,Escandón I Sección,Miguel Hidalgo,4050000,190,2,0.0,0,,,,,,False,False,,2026-07-22,2026-07-22,21315.79,0.1904,0.0858,0.4225,0.16,5.25,0.0,64263.09,hedonic,False
7405d3333eb6b9e4,vivanuncios,148870376,https://www.vivanuncios.com.mx/a-venta-departamento/cancun-centro/departamento-2-habitaciones-en-venta-en-cancun/148870376,Cancún Centro,Cancún,4797998,110,2,2,0,,,,,,False,False,,2026-07-22,2026-07-22,43618.16,0.1175,0.053,0.2608,0.0936,8.51,0.0,46985.91,hedonic,False
800efa5cc047376e,vivanuncios,148499458,https://www.vivanuncios.com.mx/a-venta-departamento/condominio-villas-de-la-corregidora/departamento-en-venta-zona-corregidora-queretaro/148499458,Condominio Villas de la Corregidora,Corregidora,1850000,85,2,2,2,,,,,,False,False,,2026-07-22,2026-07-22,21764.71,0.2623,0.1182,0.5821,0.2195,3.81,0.0,40440.68,hedonic,False
ad4852f9d57029ce,vivanuncios,150153459,https://www.vivanuncios.com.mx/a-venta-departamento/portales-norte/departamento-ph-en-venta-en-la-colonia-portales-norte/150153459,Portales Norte,Benito Juárez,5530117,120,2,2,1,,True,,19.3682616,-99.1492813,False,False,,2026-07-22,2026-07-22,46084.31,0.1073,0.0483,0.238,0.0848,9.32,0.0,49425.83,hedonic,False
e63e4609299adc9c,vivanuncios,149972133,https://www.vivanuncios.com.mx/a-venta-departamento/fraccionamiento-costa-de-oro/departamento-en-venta-torre-solandri-costa-de-oro/149972133,Fraccionamiento Costa de Oro,Boca del Río,4750000,158,3,3,2,,True,,,,False,False,,2026-07-22,2026-07-22,30063.29,0.1435,0.0647,0.3184,0.1176,6.97,0.0,56802.71,hedonic,False
90dcbe7faacea5a8,vivanuncios,150351420,https://www.vivanuncios.com.mx/a-venta-departamento/la-rioja/departamento-en-venta-en-hispania-habitat-vertical/150351420,La Rioja,Tlajomulco de Zúñiga,5320000,111,2,2,2,,,,,,False,False,,2026-07-22,2026-07-22,47927.93,0.1065,0.048,0.2364,0.084,9.39,0.0,47233.96,hedonic,False
8fef16fb8f55b52e,vivanuncios,146280692,https://www.vivanuncios.com.mx/a-venta-departamento/san-nicolas-del-palote/departamento-en-venta-y-renta-lusanta-modelo-armonia/146280692,San Nicolás del Palote,León,3281000,102,2,2,1,,,,,,False,False,,2026-07-22,2026-07-22,32166.67,0.1645,0.0741,0.3649,0.1347,6.08,0.0,44966.4,hedonic,False
84a853c93b1527a4,vivanuncios,148766390,https://www.vivanuncios.com.mx/a-venta-departamento/insurgentes-cuicuilco/departamento-unico-frente-a-perisur/148766390,Insurgentes Cuicuilco,Coyoacán,4800000,135,2,2,2,,,,19.303295,-99.185039,False,False,,2026-07-22,2026-07-22,35555.56,0.1323,0.0596,0.2936,0.1073,7.56,0.0,52931.69,hedonic,False
4fd9c5ebb415013d,vivanuncios,149512610,https://www.vivanuncios.com.mx/a-venta-departamento/tetelpan/departamento-en-3er-piso-con-grandes-espacios/149512610,Tetelpan,Alvaro Obregón,4850000,148,3,3,3,,,,19.3449905,-99.2191507,False,False,,2026-07-22,2026-07-22,32770.27,0.1353,0.061,0.3002,0.1101,7.39,0.0,54682.45,hedonic,False
150138b8393fbadc,vivanuncios,150536861,https://www.vivanuncios.com.mx/a-venta-departamento/puerto-cancun/departamento-en-venta-be-towers-puerto-cancun-cancun/150536861,Puerto Cancún,Cancún,5950000,115,1,1,1,6,,,,,False,False,,2026-07-22,2026-07-22,51739.13,0.0993,0.0448,0.2204,0.0777,10.07,0.0,49237.81,hedonic,False
d292a1a2eb48b0d5,vivanuncios,149156679,https://www.vivanuncios.com.mx/a-venta-departamento/las-aguilas/departamento-en-venta-en-colonia-las-aguilas/149156679,Las Águilas,Alvaro Obregón,3495000,90,2,2,1,,,,19.3580045,-99.2031498,False,False,,2026-07-22,2026-07-22,38833.33,0.1435,0.0647,0.3185,0.1158,6.97,0.0,41808.2,hedonic,False
1ca1eaf120d129fb,vivanuncios,150001689,https://www.vivanuncios.com.mx/a-venta-departamento/san-andres-cholula/departamento-en-venta-en-lomas-de-angelopolis-ii-frente-a-sonata-3-recamaras/150001689,San Andrés Cholula,Puebla,4550000,165,3,2,2,,,,,,False,False,,2026-07-22,2026-07-22,27575.76,0.1529,0.0689,0.3393,0.126,6.54,0.0,57971.5,hedonic,False
a65853c35e98313a,vivanuncios,148076241,https://www.vivanuncios.com.mx/a-venta-departamento/puerto-morelos/departamento-en-venta-en-puerto-morelos-de-2-habitaciones-a-10-minutos-de-la-playa/148076241,Puerto Morelos,Puerto Morelos,2934000,79,2,2,1,,,,19.2978986,-99.346902,False,False,,2026-07-22,2026-07-22,37139.24,0.1585,0.0714,0.3517,0.1284,6.31,0.0,38754.42,hedonic,False
780f6d5822dbbc17,vivanuncios,149689469,https://www.vivanuncios.com.mx/a-venta-departamento/playa-del-carmen/departamento-en-venta-ubicado-en-playa-del-carmen-a-10-min-del-mar/149689469,Playa del Carmen,Solidaridad,2598000,97,2,2,1,,,,,,False,False,,2026-07-22,2026-07-22,26783.51,0.2017,0.0909,0.4476,0.1672,4.96,0.0,43670.46,hedonic,False
7f007d73bd11c0a7,mudafy,14263914,https://mudafy.com.mx/propiedades/avenida-insurgentes-centro-0-departamento-en-venta-203313,,Cuauhtémoc,3190000,37.0,1,1.0,0,,,,19.4385591,-99.1559855,False,False,,2026-07-22,2026-07-22,86216.22,0.0958,0.0432,0.2125,0.0711,10.44,0.4952,25453.77,hedonic,False
f458d5c67c989533,mudafy,903250,https://mudafy.com.mx/propiedades/circuito-interior-melchor-ocampo-departamento-en-venta-275430,San Rafael,Cuauhtémoc,4608900,79.0,2,2.0,0,,,,19.4394622,-99.1673967,False,False,,2026-07-22,2026-07-22,58340.51,0.049,0.0221,0.1086,0.0301,20.42,-0.0028,18804.92,hedonic,False
fa8700f691262052,mudafy,8936167,https://mudafy.com.mx/propiedades/avenida-paseo-de-la-reforma-400-departamento-en-venta-039492,,Cuauhtémoc,4950000,89.0,2,2.0,0,,,,19.3767475,-99.25884,False,False,,2026-07-22,2026-07-22,55617.98,0.1007,0.0454,0.2234,0.0782,9.93,-0.0354,41537.29,hedonic,False
c4bd49aa7cff97c3,mudafy,373886,https://mudafy.com.mx/propiedades/prolongacion-paseo-de-la-reforma-departamento-en-venta-404834,,Cuauhtémoc,4273412,72.15,2,2.0,0,,,,19.3770142,-99.2587179,False,False,,2026-07-22,2026-07-22,59229.55,0.1032,0.0465,0.2291,0.0798,9.69,0.0272,36762.3,hedonic,False
56448068077e6087,mudafy,14179676,https://mudafy.com.mx/propiedades/calle-lago-guija-100-departamento-en-venta-087954,,Cuauhtémoc,3990000,100.0,2,2.0,0,,,,19.459138,-99.1944199,False,False,,2026-07-22,2026-07-22,39900.0,0.1337,0.0602,0.2967,0.1076,7.48,-0.308,44451.28,hedonic,False
a752a117f38f4e1f,mudafy,10459256,https://mudafy.com.mx/propiedades/boulevard-adolfo-lopez-mateos-departamento-en-venta-234819,,Cuauhtémoc,3600000,52.0,1,1.0,0,,,,19.3677573,-99.1914299,False,False,,2026-07-22,2026-07-22,69230.77,0.1034,0.0466,0.2295,0.079,9.67,0.2006,31027.51,hedonic,False
164f264ed45fa7c4,mudafy,8974003,https://mudafy.com.mx/propiedades/lago-andromaco-departamento-en-venta-081557,,Cuauhtémoc,5900000,103.0,3,2.0,0,,,,19.4431346,-99.2007312,False,False,,2026-07-22,2026-07-22,57281.55,0.0896,0.0404,0.1989,0.0688,11.16,-0.0066,44070.29,hedonic,False
